`id_order`,`id_lot`,`id_dealer`,`id_pharmacy`,`order_date`,`medicine_amount`
'85','110','137','10','2012-04-24 19:49:37','243'
'86','51','109','5','2012-05-25 15:15:05','209'
'87','47','80','50','2012-04-14 20:54:46','247'
'88','117','68','37','2012-06-02 11:39:15','92'
'89','47','21','16','2012-04-13 20:52:57','41'
'90','128','33','52','2012-05-16 14:14:36','166'
'91','80','135','109','2012-06-04 00:47:20','225'
'92','120','54','86','2012-05-27 08:44:17','54'
'93','47','61','44','2012-05-08 10:33:19','107'
'94','19','42','109','2012-05-26 06:01:40','186'
'95','146','1','13','2012-04-13 19:07:42','40'
'96','96','121','10','2012-04-30 22:38:56','43'
'97','15','11','75','2012-05-22 22:29:56','115'
'98','23','65','38','2012-05-03 00:29:44','36'
'99','100','143','66','2012-05-08 18:49:14','214'
'100','57','97','45','2012-04-11 23:49:04','38'
'101','11','84','11','2012-05-12 04:01:02','220'
'102','17','91','111','2012-05-27 07:21:04','39'
'103','101','3','107','2012-04-01 16:49:22','40'
'104','88','130','143','2012-05-11 23:59:45','51'
'105','66','118','118','2012-04-05 05:02:12','214'
'106','146','85','34','2012-04-02 02:48:36','141'
'107','55','73','47','2012-05-03 22:30:58','177'
'108','70','148','1','2012-05-25 06:01:53','250'
'109','43','106','77','2012-05-19 04:25:49','23'
'110','23','42','11','2012-05-14 14:23:40','158'
'111','61','107','85','2012-06-02 20:11:03','250'
'112','63','78','27','2012-04-18 10:29:17','94'
'113','138','141','55','2012-05-02 19:02:19','83'
'114','39','99','47','2012-05-25 21:17:50','254'
'115','65','88','72','2012-05-05 10:08:23','187'
'116','58','114','61','2012-05-29 08:54:51','188'
'117','22','93','10','2012-04-20 23:10:41','154'
'118','84','135','99','2012-05-25 12:45:01','77'
'119','31','69','137','2012-05-19 19:37:22','261'
'120','139','25','80','2012-05-14 06:38:31','180'
'121','73','106','117','2012-04-27 22:45:10','193'
'122','112','64','35','2012-04-13 23:41:32','145'
'123','45','64','64','2012-05-31 13:55:19','60'
'124','146','47','65','2012-04-09 12:11:21','21'
'125','44','95','111','2012-04-21 09:08:40','56'
'126','58','35','30','2012-04-08 17:26:39','77'
'127','132','16','11','2012-05-28 15:13:40','300'
'128','70','22','35','2012-04-03 13:45:06','55'
'129','117','14','112','2012-04-18 09:12:49','187'
'130','69','147','3','2012-05-04 04:24:26','77'
'131','121','129','2','2012-04-18 22:40:02','282'
'132','64','50','64','2012-05-28 05:52:56','167'
'133','24','106','23','2012-05-12 14:36:08','258'
'134','79','98','1','2012-05-05 12:00:00','137'
'135','62','149','81','2012-04-10 14:08:10','251'
'136','63','45','12','2012-04-10 16:59:56','30'
'137','6','106','129','2012-05-05 13:25:16','22'
'138','68','76','53','2012-05-07 01:00:06','233'
'139','63','77','15','2012-06-01 03:04:17','155'
'140','69','35','140','2012-05-12 13:48:20','221'
'141','103','118','141','2012-05-31 23:42:06','176'
'142','45','130','142','2012-06-01 03:43:57','124'
'143','96','55','97','2012-05-23 14:51:48','54'
'144','124','45','116','2012-05-30 11:30:48','293'
'145','132','86','91','2012-05-18 14:13:41','37'
'146','2','54','102','2012-04-02 00:06:27','69'
'147','150','14','70','2012-05-05 23:22:54','243'
'148','2','53','3','2012-04-06 13:53:23','143'
'149','75','121','146','2012-04-24 13:18:12','204'
'150','121','123','19','2012-04-26 12:40:24','117'
